stream_size,num_threads,duration,ops_per_sec
100000,2,0.3729,268202.18
100000,4,0.2277,439127.92
100000,8,0.6566,152291.15
100000,12,0.7499,133357.71
100000,16,0.8124,123091.19
100000,24,0.7867,127109.06
100000,32,0.8274,120867.25
100000,48,0.8604,116224.34
500000,2,1.1909,419854.37
500000,4,1.9048,262495.55
500000,8,3.5812,139618.78
500000,12,4.3504,114931.99
500000,16,4.8103,103943.69
500000,24,4.5801,109168.32
500000,32,4.7957,104260.67
500000,48,4.5067,110944.72
1000000,2,2.2210,450248.03
1000000,4,5.6487,177032.07
1000000,8,8.1887,122120.13
1000000,12,8.4659,118120.48
1000000,16,8.6234,115963.70
1000000,24,9.0495,110503.03
1000000,32,9.2053,108632.64
1000000,48,9.4655,105647.23
5000000,2,11.0578,452169.63
5000000,4,33.2025,150591.02
5000000,8,44.5530,112225.91
5000000,12,43.4955,114954.47
5000000,16,44.1594,113226.06
5000000,24,45.0145,111075.24
5000000,32,46.3214,107941.37
5000000,48,45.7207,109359.67
10000000,2,22.1508,451451.94
10000000,4,66.8244,149646.01
10000000,8,87.5502,114220.17
10000000,12,88.7112,112725.33
10000000,16,88.4558,113050.84
10000000,24,90.8788,110036.61
10000000,32,90.5274,110463.81
10000000,48,92.7407,107827.55
25000000,2,56.3215,443880.51
25000000,4,160.3637,155895.66
25000000,8,219.9739,113649.87
25000000,12,217.1906,115106.25
25000000,16,221.3199,112958.67
25000000,24,223.3873,111913.23
25000000,32,232.3140,107612.97
25000000,48,232.0288,107745.26
50000000,2,110.3819,452972.84
50000000,4,308.0295,162322.09
50000000,8,453.6374,110220.19
50000000,12,447.7979,111657.50
50000000,16,440.5248,113500.99
50000000,24,439.4541,113777.53
50000000,32,458.9020,108955.72
50000000,48,461.2702,108396.33
